"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bhutan","BTN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","100","100","100","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","145","140","135","130","125","120","115","110","105","100","95","90","85","80","75","70","65","60","55","50","45","40","35","30","25","20","15","10","8","6","4","2","3","5","7","12","16","15","15","15","15","","",
"Botswana","BWA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","400","400","500","500","500","500","600","600","800","800","800","1100","1200","1200","1200","1200","1600","1500","1000","1000","1250","1450","1400","1250","1500","1500","1700","1900","1900","1600","1300","1000","800","600","400","200","81","160","191","157","166","118","139","122","161","132","81","122","86","73","60","234","378","431","1168","81","38","38","38","38","33","38","","",
"Central African Republic","CAF","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2000","2000","2000","2500","2500","3000","4000","5000","5000","6000","7000","8000","8000","10000","11883","8044","10465","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13000","13500","13000","13250","13500","13750","14000","14250","14500","15000","15000","17000","19000","21000","23000","25000","27000","29000","31000","33000","35000","35000","32000","30000","29000","28000","29000","29000","29000","29000","27500","28000","","",
"Canada","CAN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","928067","1033880","1120287","1209942","1210086","1239471","1355424","1293080","1492496","1401459","1392498","1313756","1170094","1163762","1041273","1027771","1130492","1267970","1404112","1446984","1373359","1444327","1427021","1371030","1304529","1473990","1531719","1615083","1704410","1649945","1685532","1500398","1330490","1162259","1057094","880353","925943","1001276","1031373","1047330","1032686","1076924","1105841","1153788","1213644","1145594","1122606","1044982","967874","993173","975764","939688.33","834404.23","893174.36","884882.53","867807.5","884400.43","852140.29","859887.15","792937.12","739691.4","754504.64","","",
"Central Europe and the Baltics","CEB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","212911","215222","208566","254087","290531","335091","378231","405932","486458","511712","598688","659705","699310","743935","882672","1051521","997135","905055","773807","821169","894563","868837","905346","1057714","1011402","961696","966362","993652","971165","823310","606564","582601","1090077.08","870383.27","811942.01","857425.05","742932","675836.49","597272.08","599622.19","598502.24","659039.12","651892.54","588828.04","626027.12","606182.09","594423.3","663771.08","663200.79","740362.76","679202.3","670760.93","517482.47","593863.49","639018.78","549269.12","620412.48","573238.1","559353.9","568332.73","533679.55","519211.07","","",
"Switzerland","CHE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2500","2800","2800","3300","2800","2700","3000","3000","3500","3500","2400","2800","3595","3590","3785","3875","3875","3922","3730","3760","3330","3476","3149","3290","3841","4294","4386","4271","3973","3303","3158","3599","2715","1822","1481","1588","1841","1859","1809","1840","1659","1715","1544","1815","1602","1738","1690","1653","2084","2184","2101","2098","2003","2007","1983","2023","1851","1932","1553","1382.34","1485.93","1485.93","","",
"Channel Islands","CHI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","800","1000","1000","1000","1000","1200","1200","1200","1200","1200","1300","1300","1300","1700","1625","1449","1368","2004","2688","2704","2906","2800","2241","3477","3669","3024","2318","2365","2743","2910","3005","2805","2835","2854","2783","2949","4346","4238","4117","3601","3589","3927","3449","3526","3201","3505","3468","3566","3228","2649","3373","2976","2955","2848","2983","2574","2985","2731","3203","3050","2073.35","2187.51","","",
"Chile","CHL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","346742","440825","643607","773791","1176009","729157","1404630","1085551","1392101","1109892","1230285","1516150","820722","694100","1171526","970010","1436121","1378152","1988066","2695507","2890766","3500584","3841473","4165533","4665417","4979368","5685596","4917724","5343634","6581130","5353591","6060785","6511083","6056674","7837699","7684457","6909631","5990596","3463177","5281822","4547594","4031799","4515437","3921103","5317385","4738165","4461856","4132854","3939379","3821818","3048316","3466956","3007536.31","2288875.04","2592748","2131558","1826602.41","2335016.12","2370411.23","2380299.99","2183235.13","2390072.38","","",
"China","CHN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2215094","2395838","2539279","2491069","2466117","2530460","2504425","2509289","2625692","2553251","2490020","2703602","3008671","3099216","3384961","3496766","3597449","3623109","3451288","3071706","3146970","3140232","3508610","3670055","3940713","4210121","4810254","5407952","5812730","6224910","6714530","7452199","8422552","9475687","11017836","12712706","14333737","14719861","15472568","15208077","14823866","14403875","14426596","14598934","14786243","14850730","14995706","14987636","15157263","15062980","15054057","15263615.15","15446318.15","15633567.44","16363366.41","16647934.68","16019261.57","15576685.3","14831109.11","14169893.46","13445983.02","13142836.98","","",
"Cote d'Ivoire","CIV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","40500","42100","43600","45600","54600","59500","60800","66100","68400","67400","64302","77530","75199","60763","66690","58590","75917","67054","65012","73621","70068","75586","73753","79858","73680","101867","103435","101453","89336","99003","95000","82855","87039","69823","73978","70189","72711","67167","72528","78273","80323","76005","69870","68903","54401","42665","54830","47300","43799","42893","48038","52468","52513.2","61360.8","74810.23","98546.93","104288.81","94790.43","109074.76","109031.42","103116.38","105295.36","","",
"Cameroon","CMR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","51700","56500","58100","59400","59800","61100","62600","63400","65100","68100","68800","64700","60400","57600","55736","66280","70397","70167","68867","81214","81045","79761","83012","77277","75299","73969","71980","70636","70799","69829","70742","69318","71975","65257","79020","94131","98529","102000","106800","110000","112109","121031","130135","117801","129000","142345","137232","138612","155300","172000","181000","190000","199000","207000","215000","224000","233190","266737","281945","296953.82","281630","290330","","",
"Congo, Dem. Rep.","COD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","77000","75000","77000","69500","75000","81000","84000","93400","127700","149300","136600","123900","124200","156900","128810","113380","117858","107000","108706","115182","102415","102640","100700","102000","148219","148276","155825","161577","161841","166240","162700","165850","187840","196789","155897","158627","163010","162211","178041","208448","244619","231378","237690","234375","235752","234814","234562","234252","231447","228363","224491","221250","218000","227414","229612","230726","237372","238000","238000","238000","217750","228665","","",
"Congo, Rep.","COG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","11000","11000","12600","12500","13600","14000","14200","13600","14100","13900","14399","16010","24526","22200","23718","23103","26869","24364","26297","29630","31965","29665","30835","35207","32807","29878","31992","37731","41800","45597","47970","45334","39992","46748","42664","45776","45473","38082","42955","43509","45958","48830","51927","53865","57024","54616","59082","59216","54104","61218","65186","73233","81150","73326","73536","69349","86834","95035","98734","70349.84","70637.35","69419","","",
"Colombia","COL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","29800","43300","52000","47700","50300","53500","59200","86200","83600","57600","54500","37696","110687","105282","62387","66527","75043","63881","79467","63246","76000","94431","71042","57104","78514","70775.32","82474.48","84450.34","86616.34","92059.3","119674","103535","144248","124969.5","99768.5","131006","130099","148053","134616","127426","137061","146164","124799","130147","112492","121002","103997","121655","112892","106450","81168","87491","72004","70706","92879","81951","69338","88223.5","81542.99","112072.5","91924.46","128869.15","","",
"Comoros","COM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","817","817","917","917","917","917","875","875","1235","1235","1661","2469","2878","3286","4046","4755","4863","5620","6026","6485","6951","7459","7974","8493","8999","9515","9970","10378","10913","10751","11251","11551","12590","12757","13537","13109","12696","12576","12317","11818","12003","11425","11178","11053","10987","10738","10464","14401","22714","44745","63447","38180","36295.23","43732.61","9257.28","11789.68","20039.49","17438.13","13801.52","17599.95","20755.44","19356.06","","",
"Cabo Verde","CPV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1600","1600","1500","2000","2500","3500","4000","5900","4900","4000","5181","4153","4078","8333","3428","3900","3800","6000","7000","7476","8837","14730","12453","11863","10730","10190","7335","7312","6387","8614","6579.04","7378.1","6573","7000","8256","8495","9255","9705","9424","10360","10586","8676","8851","8136","11031","21931","19826","20127","21119","19213","21412","23077","20943.45","35983.8","35677.41","39393.28","27938.73","18617","26593.23","17190.32","19485.25","11623.87","","",
"Costa Rica","CRI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2200","2400","2500","2400","3600","3400","3300","3500","5000","4100","8100","10560","12550","12360","15554","16172","14197","15392","22642","20766","16426","16010","12567","11108","16390","20383","22951","16970","16670","17030","18370","16043","16010","16172","17134","17441","24335","26696","24620","28029","35163","34016","33045","29556","20000","21489","19195","19751","21405","19814","17916","13928","15045","18558","14746","14750","11776.61","12498.83","14422.57","17768.97","26679.37","29122.73","","",
"Caribbean small states","CSS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","31823","38713","38563","36463","38023","41573","45093","46373","47763","50563","53532","52182","56852","59650","63999","65490","61411","75413","76569","72775","69638","69296.79","69574.04","76872.15","78855.07","82656.82","78313.9","83190.03","94045.66","92376.61","99159.18","106117.54","110921.54","114526.94","135081.02","131746.48","135359.15","156487.59","193149.69","204115","172356","200417","269579","231637","291488","284122","380822","499244","541446","490851.83","624329.44","519998.65","349907.11","233991.7","346248.71","350706.97","317847.49","384512.29","350763.63","332448.86","300666.32","299446.16","","",
"Cuba","CUB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","31200","30600","35000","35612","37165","41080","43826","65955","66170","78699","104150","126650","139141","149707","163819","143013","193180","183439","211486","151711","184141","161857","191517","194349","195475.3","215225.9","239932.3","209195.6","225323.1","185846.9","179893.8","162800.6","100966.8","84934.3","77701.4","80066.2","84206.8","76801.5","58738.1","60645.1","68486","54708","32586","34088","32194","28234","27587","29485","28714","28892","23996","24106","22320","22103","25056","25634","23574","21548","22621","18546.1","20186.2","18053.2","","",
"Curacao","CUW","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22074","25071.89","26196.68","28495.27","30158.69","35534.16","32625.63","37910.53","29213.84","23051.82","25027.24","","",
"Cayman Islands","CYM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","1391","3992","933","655","423","396","478","1097","386","615","837","586","825","445","125","125","110","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","","",
