country,GID_0,ISO_3,region,subregion,ID,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005
cayman islands (the),CYM,CYM,americas,caribbean,57,0.6812197417020798,715827889.3333334,715827889.3333334,29.10889434814453,61.666666666666664,30.608895301818848,62.666666666666664,9,9.5,1.2941204905509949,1.2941204905509949,0,0,6,715827887.3333334,0,2.814773976802826,0,0
cyprus,CYP,CYP,europe and central asia,central and western europe,58,0.4970540583627411,77619892.21686748,77619892.57831325,12.83399045318365,16.602409638554217,15.021490466594695,18.710843373493976,2.1875,3.1,0.18035889538400623,0.18035889538400623,0,0,4.3625,77619895.45783132,0.1,3.0536315724253655,1.575,2.1
czechia,CZE,CZE,europe and central asia,central and western europe,59,0.5689327848722584,1.333803810868031,1.333803810868031,18.92517045211775,18.59633027522936,17.45022339817076,17.12138320395201,3.477769936485533,3.8242766407904023,3.5373540103263644e-6,3.5373540103263644e-6,0.011291460832745237,0.016231474947071278,5.7367678193366265,5.757939308398024,1.6316160903316868,2.144644769527749,4.589273112208892,2.7417078334509526
germany,DEU,DEU,europe and central asia,central and western europe,60,0.5924445283678463,6171865.149296626,6171865.063076691,20.946350302221706,20.921494478898804,18.749293280308795,18.730751777340796,3.3775788834951457,3.6656553398058254,0.08201888807546254,0.08201888807546254,0.01972087378640777,0.08555825242718447,6.682190533980583,6171870.194978067,1.7803398058252426,2.4721894757822156,4.834799757281553,2.294751213592233
djibouti,DJI,DJI,africa,east africa and adjacent islands,61,0.1867183178721235,16582885.35135135,16582885.35135135,5.133233662709188,5.768339768339768,5.786930156009206,6.416988416988417,0.05058365758754864,0.038910505836575876,0.049605596040955685,0.049605596040955685,0.6848249027237354,0.6848249027237354,2.4357976653696496,16582888.38996139,0.0933852140077821,1.7801261214894544,0,0
dominica,DMA,DMA,americas,caribbean,62,0.37514679580926896,0,1,12.0622079372406,11.7,10.362207889556885,10,0.7,0.8,0.48501345086842773,0.48501345086842773,0,0,5.8,5.8,0,2.27719432413578,2.8,0
denmark,DNK,DNK,europe and central asia,central and western europe,63,0.6731140674466873,58368752.74292186,58368752.30124576,19.713647347806635,22.288788221970556,16.72179636105947,19.378255945639864,2.9336437718277066,2.121071012805588,0.37691918354731097,0.37691918354731097,0,0,5.735739231664726,58368757.1200453,1.0989522700814902,2.9350983489725446,5.3294528521536675,3.536670547147846
dominican republic (the),DOM,DOM,americas,caribbean,64,0.35508576351738136,25349722.994940978,25349723.0455312,12.624983557662052,13.650927487352446,12.418498914396396,13.446880269814503,0.5307167235494881,0.6604095563139932,0.11604139560575948,0.11604139560575948,0.9266211604095563,0.9300341296928327,6.098976109215017,25349728.94772344,0.2593856655290102,2.6676452348053252,1.6843003412969284,1.0273037542662116
algeria,DZA,DZA,africa,north africa,65,0.07815523156816151,140298.86636396302,140298.8761637213,2.432877466257331,2.2632541730637312,2.774160010207307,2.604514421977591,0.10786972003528143,0.1455685864558492,5.189774261268451e-4,5.189774261268451e-4,0.30580510274084477,0.27898467871026755,1.0229982685962562,140299.9984973704,0.032667995165136715,0.8302873407535367,0.07066087354219072,0.21998627944203064
ecuador,ECU,ECU,americas,south america,66,0.2533220802459105,80199456.19406469,80199456.27075692,5.762481324879417,10.081360453484494,6.969899991752235,11.235078359453151,0.30931763075857294,0.5057152753723588,0.20253489888742324,0.24230549557084463,0.3588500173190163,0.3072393488049879,2.896778662971943,80199459.20073357,0.04433668167648078,1.1030707795974248,0.657083477658469,1.1832351922410806
