year,urban_mean,agri_mean,anthropo_mean,forest_mean,anthropo_change,forest_change,anthropo_mean_0,forest_mean_0,urban_change,agri_change,urban_mean_0,agri_mean_0,%collapsed_overexploited,fish_stock,fish_stock_lag,fish_stock_change,cases_count,total_count,tca_count,prop_new_cases_tca,prop_new_cases,prop_aggr,prop_aggr_0,index_forest,index_anthropo,index_urban,index_agri,index_fish,normalized_forest,normalized_anthropo,normalized_urban,normalized_agri,normalized_fish
2012,0.00432838176569558,0.11346626122652292,0.1177946429922185,0.2748407321522253,1.2460453861652676e-4,-2.3799318122125213e-4,0.00502968578238068,-0.00291092649132174,1.0687298632791956e-4,1.7731552288610675e-5,0.00212195016773741,0.00290773561464326,44.33,0.4433,0.4254,0.01790000000000002,1719,8591952,163022,0.01054458907386733,2.0007095011703976e-4,1.304678444707442e-4,8.242748288055058e-5,0.989519679178379,1.0446032695513838,1.9617112851814944,1.0263004196062726,1.9290687554395127,0.9773181057610283,0.9430511634589119,0.652438984475371,0.9608617530427922,0.85434173669467794
2013,0.00447939162102753,0.11339792094327251,0.11787731256430006,0.27477977920625296,8.266957208155623e-5,-6.095294597235901e-5,0.00511235535446223,-0.0029718794372941,1.5100985533194992e-4,-6.83402832504093e-5,0.00227296002306936,0.00283939533139285,45.34,0.4534,0.4433,0.01009999999999999,1872,9113744,178241,0.01050263407409069,2.054040578712766e-4,1.3692362032744718e-4,8.888325873725357e-5,0.9893002279381234,1.0453363835801306,2.0301520451269623,1.025682282896578,1.9730200174064405,0.9977825241775894,0.9585514629820485,0.6988701958000011,0.9382786942403551,0.8947579031612646
2014,0.00462271014427583,0.11329840510072885,0.11792111524500468,0.2748916141732761,4.380268070461324e-5,1.1183496702316108e-4,0.00515615803516684,-0.00286004447027093,1.433185232483005e-4,-9.95158425436682e-5,0.00241627854631766,0.00273987948884918,45.28,0.4528,0.4534,-6.000000000000449e-4,1994,9508028,186481,0.01069277835275443,2.0971751450458496e-4,1.4292661069374143e-4,9.488624910354782e-5,0.9897028716795482,1.0457248258922498,2.0951069358115078,1.024782163778736,1.970409051348999,0.9602349122901814,0.9667643356719907,0.742936542496698,0.9053936663029817,0.8923569427771108
2015,0.00470488346584326,0.11326037872828884,0.11796526219413211,0.27477317448965427,4.4146949127452095e-5,-1.1843968362185152e-4,0.0052003049842943,-0.00297848415389279,8.217332156742942e-5,-3.802637244000595e-5,0.00249845186788509,0.00270185311640917,44.52,0.4452,0.4528,-0.00759999999999999,2351,9715202,195765,0.01200929686103236,2.4199188035410897e-4,1.506253760834868e-4,1.0258501449329318e-4,0.989276448722435,1.0461163211778401,2.1323495685056155,1.02443821588119,1.9373368146214098,1,0.9750417576699284,0.7682024885540404,0.8928278447404718,0.8619447779111643
2016,0.00476060315163169,0.1129101620696622,0.1176707652212939,0.2755333966445198,-2.9449697283823184e-4,7.602221548655419e-4,0.00490580801145607,-0.00221826199902724,5.5719685788430465e-5,-3.5021665862663975e-4,0.00255417155367352,0.00235163645778253,44.6,0.446,0.4452,8.000000000000229e-4,2328,9974175,199981,0.01164110590506098,2.334027626345036e-4,1.5674181954642794e-4,1.0870145795623432e-4,0.9920135058423754,1.0435047210839368,2.1576028715493147,1.0212705121090169,1.9408181026979983,0.7447620616440231,0.919824448898255,0.785334698237293,0.777098687365183,0.8651460584233693
2017,0.00488430327016656,0.11279295391514813,0.11767725718531467,0.2756817405330422,6.491964020791108e-6,1.4834388852236202e-4,0.00491229997547686,-0.00206991811050488,1.2370011853486945e-4,-1.1720815451407574e-4,0.00267787167220838,0.00223442830326846,45.94,0.4594,0.446,0.01339999999999996,2451,9855791,202743,0.01208919666770246,2.4868627997488987e-4,1.629981868117324e-4,1.1495782522153878e-4,0.9925475940607745,1.0435622918415675,2.2136662993253404,1.0202103663277178,1.9991296779808527,0.6949568987296995,0.921041672893514,0.8233689466110091,0.738367231778179,0.918767507002801
2018,0.00496305369134179,0.11295032542343417,0.11791337911477597,0.2751806026375266,2.3612192946126376e-4,-5.01137895515591e-4,0.00514842190493812,-0.00257105600602047,7.875042117522994e-5,1.5737150828604163e-4,0.00275662209338361,0.0023917998115545,47.97,0.4797,0.4594,0.02030000000000004,2589,9849648,224310,0.01154206232446168,2.6285203288483e-4,1.6935615506321442e-4,1.213157934730208e-4,0.9907433279837942,1.045656221864721,2.2493576034419536,1.0216337889666782,2.087467362924282,0.8632095633814884,0.9653138342036063,0.8475824486996845,0.7903706747904027,1
2019,0.00507320211441933,0.11294495929245968,0.11801816140687904,0.274924883925314,1.0478229210307556e-4,-2.557187122125826e-4,0.0052532041970412,-0.00282677471823306,1.1014842307754005e-4,-5.366130974487904e-6,0.00286677051646115,0.00238643368058001,46.42,0.4642,0.4797,-0.01550000000000001,2966,10092433,247105,0.01200299467837559,2.938835462172501e-4,1.769830057051046e-4,1.2894264411491098e-4,0.989822654049887,1.0465854315651077,2.2992791252237628,1.021585252402494,2.020017406440383,0.9490648840748571,0.9849602031326262,0.8814499383264093,0.7885974358517462,0.9379751900760304
2020,0.00513271814763297,0.11296565677830508,0.11809837492593804,0.2749959349494503,8.021351905902752e-5,7.105102413629272e-5,0.00533341771610022,-0.00275572369409676,5.951603321364008e-5,2.069748584540565e-5,0.00292628654967479,0.00240713116642542,NA,NA,NA,NA,3256,10703599,292693,0.01112428380589901,3.0419674728098466e-4,1.84742206155412e-4,1.3670184456521838e-4,0.9900784617900938,1.0472967653078211,2.3262530106905572,1.0217724608129792,NA,0.9252101242489802,1,0.8997494162596323,0.7954369237449517,NA
2021,0.00528165442931021,0.11280355783121944,0.11808521226052963,0.2753377380371655,-1.3162665408406047e-5,3.4180308771519785e-4,0.00532025505069182,-0.00241392060638157,1.4893628167724025e-4,-1.6209894708564543e-4,0.00307522283135204,0.00224503221933977,NA,NA,NA,NA,3365,9776559,326740,0.01029870845320438,3.44190629852487e-4,1.9315643694217444e-4,1.4511607535198082e-4,0.9913090686184544,1.0471800387490207,2.3937539845775633,1.0203062785697872,NA,0.8104527275146477,0.9975320392834277,0.9455430629938761,0.7418712977373021,NA
2022,0.00545876663346142,0.11257866138830291,0.11803742802176434,0.2757091756098058,-4.778423876530824e-5,3.714375726402986e-4,0.00527247081192651,-0.00204248303374127,1.7711220415120993e-4,-2.248964429165251e-4,0.00325233503550325,0.00202013577642325,NA,NA,NA,NA,3251,9431408,331629,0.00980312336978973,3.4469932803246346e-4,2.0049744383479067e-4,1.5245708224459706e-4,0.9926463696248795,1.0467562879673271,2.4740248637270055,1.0182720940356516,NA,0.685745811698144,0.988572636268538,1,0.6675542280196783,NA
